Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62,agent-63,agent-64,agent-65,agent-66,agent-67,agent-68,agent-69,agent-70,agent-71,agent-72,agent-73,agent-74,agent-75,agent-76,agent-77,agent-78,agent-79,agent-80,agent-81,agent-82,agent-83,agent-84,agent-85,agent-86,agent-87,agent-88,agent-89,agent-90,agent-91,agent-92,agent-93,agent-94,agent-95,agent-96,agent-97,agent-98,agent-99
4,37,7.0,1.0,1.0,2.0,3.0,12.0,13.0,3.0,4.0,9.0,13.0,5.0,10.0,15.0,3.0,6.0,11.0,14.0,1.0,0.21599999999999997,11.0,5.0,10.0,15.0,5.0,8.0,3.0,1.0,7.0,4.0,3.0,0.21599999999999997,5.0,11.0,8.0,10.0,10.0,1.0,9.0,11.0,9.0,7.0,14.0,3.0,0.21599999999999997,3.0,5.0,12.0,0.24545097799804905,12.0,6.0,9.0,14.0,6.0,3.0,8.0,5.0,5.0,9.0,14.0,1.0,3.0,14.0,1.0,7.0,11.0,15.0,6.0,12.0,13.0,0.21599999999999997,2.0,15.0,11.0,0.21599999999999997,15.0,9.0,2.0,3.0,6.0,9.0,7.0,8.0,3.0,3.0,7.0,13.0,1.0,11.0,0.21599999999999997,0.21599999999999997,11.0,10.0,9.0,11.0,9.0,7.0,12.0,11.0,3.0
4,38,7.0,1.0,1.0,2.0,3.0,12.0,13.0,3.0,4.0,9.0,13.0,5.0,10.0,15.0,3.0,6.0,11.0,14.0,1.0,0.21599999999999997,11.0,5.0,10.0,15.0,5.0,8.0,3.0,1.0,7.0,4.0,3.0,0.21599999999999997,5.0,11.0,8.0,10.0,10.0,1.0,9.0,11.0,9.0,7.0,14.0,3.0,0.21599999999999997,3.0,5.0,12.0,0.24545097799804905,12.0,6.0,9.0,14.0,6.0,3.0,8.0,5.0,5.0,9.0,14.0,1.0,3.0,14.0,1.0,7.0,11.0,15.0,6.0,12.0,13.0,0.21599999999999997,2.0,15.0,11.0,0.21599999999999997,15.0,9.0,2.0,3.0,6.0,9.0,7.0,8.0,3.0,3.0,7.0,13.0,1.0,11.0,0.21599999999999997,0.21599999999999997,11.0,10.0,9.0,11.0,9.0,7.0,12.0,11.0,3.0
4,39,7.0,1.0,1.0,2.0,3.0,12.0,13.0,3.0,4.0,9.0,13.0,5.0,10.0,15.0,3.0,6.0,11.0,14.0,1.0,0.21599999999999997,11.0,5.0,10.0,15.0,5.0,8.0,3.0,1.0,7.0,4.0,3.0,0.21599999999999997,5.0,11.0,8.0,10.0,10.0,1.0,9.0,11.0,9.0,7.0,14.0,3.0,0.21599999999999997,3.0,5.0,12.0,0.24545097799804905,12.0,6.0,9.0,14.0,6.0,3.0,8.0,5.0,5.0,9.0,14.0,1.0,3.0,14.0,1.0,7.0,11.0,15.0,6.0,12.0,13.0,0.21599999999999997,2.0,15.0,11.0,0.21599999999999997,15.0,9.0,2.0,3.0,6.0,9.0,7.0,8.0,3.0,3.0,7.0,13.0,1.0,11.0,0.21599999999999997,0.21599999999999997,11.0,10.0,9.0,11.0,9.0,7.0,12.0,11.0,3.0
5,0,3.0,11.0,11.0,5.0,0.21599999999999997,4.0,0.21599999999999997,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,3.0,2.0,11.0,1.0,5.0,15.0,0.24725329383213646,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,4.0,11.0,4.0,3.0,9.0,8.0,12.0,4.0,1.0,3.0,1.0,11.0,15.0,0.21599999999999997,0.21599999999999997,12.0,11.0,1.0,7.0,5.0,6.0,10.0,0.32955669758500905,7.0,6.0,11.0,4.0,1.0,0.21599999999999997,14.0,5.0,5.0,6.0,7.0,10.0,11.0,1.0,8.0,4.0,5.0,5.0,7.0,12.0,1.0,0.21599999999999997,1.0,15.0,4.0,9.0,9.0,2.0,10.0,9.0,12.0,1.0,7.0,10.0,13.0,10.0,14.0,0.21599999999999997,0.21599999999999997,1.0,13.0,10.0,0.2528275567813191,11.0,4.0,10.0,15.0
5,1,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,0.21599999999999997,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,3.0,2.0,11.0,1.0,5.0,15.0,0.24725329383213646,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,4.0,11.0,4.0,3.0,9.0,8.0,12.0,4.0,1.0,3.0,1.0,11.0,15.0,0.21599999999999997,0.21599999999999997,8.0,11.0,2.0,7.0,5.0,5.0,15.0,4.0,7.0,6.0,11.0,4.0,1.0,0.21599999999999997,14.0,5.0,5.0,6.0,7.0,10.0,11.0,1.0,8.0,4.0,5.0,5.0,7.0,12.0,13.0,5.0,14.0,13.0,4.0,9.0,9.0,2.0,10.0,9.0,12.0,1.0,7.0,10.0,11.0,0.21599999999999997,14.0,0.21599999999999997,0.21599999999999997,1.0,13.0,0.21599999999999997,0.2528275567813191,11.0,0.27221325200687685,10.0,6.0
5,2,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,0.21599999999999997,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,3.0,2.0,11.0,1.0,5.0,15.0,0.24725329383213646,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,4.0,1.0,3.0,1.0,11.0,15.0,0.21599999999999997,0.21599999999999997,8.0,11.0,2.0,7.0,5.0,5.0,15.0,4.0,7.0,6.0,11.0,4.0,1.0,0.21599999999999997,14.0,5.0,5.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,5.0,5.0,7.0,12.0,13.0,5.0,14.0,13.0,4.0,9.0,9.0,2.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.21599999999999997,0.21599999999999997,4.0,13.0,0.21599999999999997,0.2528275567813191,11.0,0.27221325200687685,10.0,6.0
5,3,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,15.0,2.0,0.21599999999999997,1.0,5.0,15.0,0.24725329383213646,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,4.0,1.0,3.0,1.0,11.0,15.0,0.21599999999999997,0.21599999999999997,8.0,11.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,5.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,5.0,5.0,7.0,12.0,13.0,5.0,14.0,13.0,4.0,9.0,9.0,14.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.21599999999999997,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,0.27221325200687685,10.0,6.0
5,4,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,15.0,2.0,0.21599999999999997,1.0,5.0,15.0,0.24725329383213646,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,5.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,5.0,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,14.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.21599999999999997,0.21599999999999997,4.0,13.0,0.260759798467769,0.21599999999999997,11.0,0.21599999999999997,10.0,6.0
5,5,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,15.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,5.0,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,14.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.21599999999999997,0.21599999999999997,4.0,13.0,0.260759798467769,0.21599999999999997,11.0,0.21599999999999997,10.0,6.0
5,6,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,11.0,7.0,10.0,4.0,13.0,15.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,14.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.21599999999999997,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,7,5.0,0.36761622951668926,9.0,8.0,5.0,4.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,11.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.4418942612144231,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,8,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,9,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,10,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,11,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,12,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,13,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,14,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,15,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,16,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,17,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,18,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,19,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,20,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,21,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,22,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,23,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
5,24,5.0,0.36761622951668926,9.0,8.0,5.0,8.0,10.0,0.21599999999999997,7.0,13.0,11.0,1.0,12.0,15.0,10.0,4.0,13.0,10.0,2.0,0.21599999999999997,1.0,5.0,15.0,7.0,0.3636566987012191,3.0,11.0,3.0,12.0,10.0,3.0,11.0,6.0,3.0,2.0,2.0,12.0,13.0,1.0,3.0,0.21599999999999997,11.0,15.0,14.0,0.21599999999999997,8.0,9.0,2.0,7.0,5.0,5.0,15.0,4.0,6.0,6.0,9.0,4.0,1.0,0.21599999999999997,14.0,5.0,3.0,6.0,7.0,10.0,3.0,1.0,9.0,12.0,0.21599999999999997,5.0,7.0,12.0,2.0,5.0,14.0,13.0,4.0,9.0,9.0,6.0,10.0,9.0,12.0,0.21599999999999997,7.0,10.0,11.0,0.21599999999999997,14.0,0.25502921361032604,0.21599999999999997,4.0,13.0,0.21599999999999997,0.21599999999999997,11.0,15.0,10.0,6.0
